#	Isochrone	Z = 0.00100		Age = 	6.310e+07 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	Mu 	Mb 	Mv 	Mr 	Mi 	Mj 	Mh 	Mk 	Flum
	7.80	0.15000001	0.1500	-2.3437	3.5777	5.2146	10.629	14.498	13.196	11.721	10.804	9.988	8.998	8.351	8.131	-9.59274740
	7.80	0.20000000	0.2000	-2.0602	3.5999	5.1449	9.921	13.033	12.079	10.787	9.970	9.243	8.340	7.704	7.506	-6.50542581
	7.80	0.25000000	0.2500	-1.8707	3.6112	5.0975	9.447	12.350	11.460	10.227	9.452	8.757	7.891	7.263	7.083	-4.81334753
	7.80	0.30000001	0.3000	-1.7221	3.6198	5.0624	9.075	11.819	10.978	9.790	9.048	8.376	7.538	6.916	6.751	-3.76315853
	7.80	0.34999999	0.3500	-1.5986	3.6272	5.0355	8.766	11.376	10.576	9.428	8.712	8.061	7.246	6.630	6.476	-3.05614800
	7.80	0.40000001	0.4000	-1.4510	3.6347	4.9759	8.397	10.878	10.121	9.009	8.321	7.692	6.895	6.283	6.141	-2.55202682
	7.80	0.44999999	0.4500	-1.3245	3.6435	4.9357	8.081	10.409	9.702	8.634	7.979	7.375	6.601	5.993	5.864	-2.17685426
	7.80	0.50000000	0.5000	-1.1877	3.6540	4.8868	7.739	9.881	9.242	8.225	7.608	7.034	6.287	5.688	5.574	-1.88823797
	7.80	0.55000001	0.5500	-1.0362	3.6694	4.8383	7.360	9.226	8.703	7.754	7.191	6.656	5.953	5.382	5.283	-1.66026185
	7.80	0.60000002	0.6000	-0.8781	3.6890	4.7961	6.965	8.496	8.133	7.261	6.756	6.263	5.621	5.096	5.011	-1.47625717
	7.80	0.69999999	0.7000	-0.5683	3.7338	4.7325	6.191	7.063	7.042	6.347	5.942	5.529	5.020	4.600	4.543	-1.19890256
	7.80	0.80000001	0.8000	-0.2919	3.7736	4.6732	5.500	5.959	6.139	5.607	5.273	4.922	4.513	4.169	4.134	-1.00113983
	7.80	0.89999998	0.9000	-0.0426	3.8042	4.5976	4.876	5.170	5.396	4.968	4.684	4.382	4.042	3.754	3.733	-0.85396262
	7.80	1.00000000	1.0000	0.1731	3.8317	4.5376	4.337	4.561	4.766	4.412	4.175	3.919	3.641	3.408	3.395	-0.74074074
	7.80	1.10000002	1.1000	0.3648	3.8590	4.4964	3.858	4.056	4.204	3.914	3.724	3.518	3.301	3.125	3.116	-0.65130752
	7.80	1.20000005	1.2000	0.5367	3.8940	4.5025	3.428	3.621	3.681	3.465	3.338	3.200	3.058	2.952	2.944	-0.57912395
	7.80	1.29999995	1.3000	0.6932	3.9292	4.5216	3.037	3.240	3.232	3.090	3.024	2.951	2.875	2.825	2.817	-0.51980772
	7.80	1.38348460	1.3834	0.8094	3.9555	4.5377	2.747	2.965	2.945	2.860	2.830	2.794	2.757	2.735	2.729	-0.47791525
	7.80	1.39999998	1.4000	0.8315	3.9605	4.5408	2.691	2.912	2.897	2.820	2.796	2.765	2.735	2.717	2.712	-0.47031994
