    5   31  Pure helium grid                                                                                                               Tue Feb 28 09:08:53 2006
 Teff  logg  M/Mo  Mbol     BC    U      B      V      R      I      J      H      K      u      g      r      i      z      y      b-y    u-b    v-y    V-I    G-R    U-V    U-G    B-V     Age
 20000. 7.0  0.247  7.275 -1.907  8.042  9.068  9.182  9.270  9.369  9.656  9.752  9.825  8.879  8.997  9.362  9.674  9.966  9.163 -0.023  0.031  0.076 -0.665 -0.599 -0.234 -0.069 -0.323 4.561E+07
 22000. 7.0  0.257  6.820 -2.269  7.938  8.966  9.089  9.182  9.287  9.572  9.664  9.734  8.776  8.897  9.274  9.590  9.884  9.071 -0.031  0.028  0.064 -0.675 -0.614 -0.243 -0.070 -0.339 3.545E+07
 24000. 7.0  0.266  6.403 -2.550  7.763  8.808  8.953  9.051  9.163  9.454  9.546  9.617  8.602  8.747  9.141  9.464  9.761  8.937 -0.046 -0.001  0.036 -0.685 -0.632 -0.282 -0.097 -0.359 2.819E+07
 26000. 7.0  0.276  6.016 -2.776  7.551  8.623  8.792  8.898  9.020  9.324  9.420  9.495  8.390  8.571  8.986  9.318  9.622  8.781 -0.060 -0.044  0.001 -0.698 -0.652 -0.335 -0.138 -0.378 2.284E+07
 28000. 7.0  0.286  5.656 -2.986  7.352  8.452  8.642  8.753  8.883  9.200  9.301  9.379  8.192  8.408  8.839  9.179  9.489  8.634 -0.072 -0.086 -0.029 -0.710 -0.667 -0.386 -0.178 -0.391 1.881E+07
 30000. 7.0  0.296  5.319 -3.180  7.166  8.291  8.499  8.614  8.753  9.081  9.185  9.267  8.006  8.254  8.700  9.046  9.361  8.493 -0.080 -0.125 -0.054 -0.720 -0.681 -0.430 -0.215 -0.402 1.571E+07
  3500. 7.5  0.313 15.839 -2.103 21.242 20.021 17.942 16.548 15.314 14.015 13.503 13.215 22.122 19.050 17.060 16.056 15.439 17.963  1.493  3.407  2.921  2.228  2.763  4.197  3.038  2.174 5.306E+09
  3750. 7.5  0.313 15.538 -1.642 20.155 19.086 17.180 15.946 14.847 13.760 13.322 13.074 21.025 18.190 16.394 15.534 15.034 17.189  1.368  3.174  2.696  1.923  2.455  3.865  2.815  1.984 4.366E+09
  4000. 7.5  0.313 15.257 -1.247 19.158 18.237 16.504 15.421 14.455 13.548 13.169 12.953 20.019 17.414 15.814 15.091 14.696 16.502  1.244  2.946  2.472  1.630  2.150  3.539  2.598  1.794 3.845E+09
  4250. 7.5  0.314 14.992 -0.913 18.231 17.462 15.906 14.967 14.125 13.370 13.039 12.849 19.084 16.714 15.310 14.717 14.414 15.896  1.116  2.715  2.242  1.352  1.848  3.205  2.375  1.599 3.428E+09
  4500. 7.5  0.314 14.743 -0.639 17.364 16.754 15.381 14.577 13.849 13.220 12.928 12.760 18.209 16.084 14.879 14.403 14.178 15.366  0.984  2.468  2.001  1.094  1.551  2.854  2.139  1.395 3.027E+09
  4750. 7.5  0.315 14.506 -0.426 16.557 16.119 14.932 14.248 13.620 13.092 12.832 12.681 17.394 15.528 14.516 14.142 13.981 14.913  0.853  2.202  1.755  0.867  1.272  2.485  1.885  1.188 2.641E+09
  5000. 7.5  0.316 14.281 -0.276 15.826 15.568 14.556 13.973 13.428 12.980 12.745 12.609 16.656 15.052 14.215 13.925 13.815 14.537  0.732  1.924  1.519  0.679  1.029  2.118  1.624  0.990 2.337E+09
  5250. 7.5  0.316 14.066 -0.179 15.189 15.105 14.245 13.741 13.261 12.878 12.664 12.541 16.013 14.655 13.964 13.739 13.668 14.226  0.631  1.658  1.312  0.531  0.832  1.782  1.376  0.820 2.079E+09
  5500. 7.5  0.317 13.860 -0.122 14.652 14.720 13.983 13.540 13.112 12.780 12.585 12.474 15.473 14.323 13.748 13.574 13.535 13.965  0.551  1.425  1.146  0.416  0.679  1.500  1.163  0.683 1.829E+09
  6000. 7.5  0.321 13.470 -0.081 13.825 14.118 13.551 13.194 12.841 12.591 12.428 12.339 14.644 13.793 13.382 13.281 13.289 13.536  0.442  1.089  0.916  0.255  0.466  1.102  0.860  0.495 1.319E+09
  6500. 7.5  0.323 13.114 -0.083 13.220 13.654 13.197 12.898 12.602 12.418 12.283 12.213 14.039 13.374 13.072 13.024 13.068 13.184  0.371  0.879  0.770  0.140  0.324  0.852  0.671  0.376 1.062E+09
  7000. 7.5  0.325 12.786 -0.109 12.744 13.273 12.895 12.640 12.388 12.261 12.150 12.096 13.564 13.024 12.804 12.797 12.870 12.884  0.320  0.738  0.667  0.052  0.218  0.681  0.545  0.291 8.905E+08
  7500. 7.5  0.327 12.480 -0.145 12.340 12.940 12.625 12.406 12.192 12.113 12.025 11.986 13.161 12.716 12.561 12.589 12.688 12.615  0.280  0.633  0.587 -0.022  0.132  0.550  0.449  0.225 7.556E+08
