    5   31  Pure helium grid                                                                                                               Tue Feb 28 09:08:53 2006
 Teff  logg  M/Mo  Mbol     BC    U      B      V      R      I      J      H      K      u      g      r      i      z      y      b-y    u-b    v-y    V-I    G-R    U-V    U-G    B-V     Age
 13000. 8.5  0.906 11.485 -0.938 11.405 12.395 12.423 12.406 12.403 12.601 12.639 12.690 12.235 12.299 12.517 12.735 12.975 12.418  0.059  0.061  0.151 -0.437 -0.353 -0.157 -0.065 -0.142 6.675E+08
 14000. 8.5  0.907 11.163 -1.094 11.180 12.202 12.257 12.258 12.274 12.497 12.547 12.605 12.010 12.116 12.366 12.601 12.853 12.251  0.041  0.016  0.119 -0.476 -0.398 -0.211 -0.103 -0.176 5.520E+08
 15000. 8.5  0.908 10.862 -1.240 10.983 12.029 12.103 12.121 12.152 12.398 12.457 12.522 11.813 11.949 12.225 12.475 12.738 12.095  0.028 -0.017  0.097 -0.511 -0.437 -0.249 -0.130 -0.204 4.591E+08
 17000. 8.5  0.909 10.317 -1.502 10.647 11.725 11.818 11.864 11.920 12.197 12.274 12.350 11.479 11.652 11.964 12.236 12.514 11.804  0.014 -0.053  0.079 -0.570 -0.497 -0.287 -0.155 -0.246 3.262E+08
 18000. 8.5  0.910 10.068 -1.623 10.505 11.592 11.690 11.748 11.812 12.098 12.182 12.262 11.337 11.521 11.847 12.126 12.409 11.672  0.011 -0.063  0.077 -0.595 -0.521 -0.295 -0.161 -0.260 2.779E+08
 20000. 8.5  0.912  9.608 -1.870 10.264 11.370 11.478 11.556 11.632 11.927 12.020 12.103 11.098 11.302 11.652 11.944 12.235 11.453  0.006 -0.083  0.072 -0.635 -0.559 -0.311 -0.173 -0.282 2.042E+08
 22000. 8.5  0.913  9.192 -2.133 10.079 11.203 11.325 11.418 11.506 11.808 11.908 11.991 10.914 11.141 11.512 11.814 12.113 11.299 -0.002 -0.106  0.056 -0.664 -0.590 -0.337 -0.192 -0.301 1.524E+08
 24000. 8.5  0.915  8.813 -2.426  9.970 11.105 11.239 11.339 11.436 11.745 11.847 11.931 10.806 11.047 11.432 11.742 12.045 11.212 -0.010 -0.122  0.043 -0.680 -0.608 -0.358 -0.205 -0.315 1.147E+08
 26000. 8.5  0.916  8.463 -2.723  9.902 11.043 11.186 11.290 11.393 11.706 11.809 11.893 10.738 10.988 11.382 11.697 12.003 11.160 -0.016 -0.133  0.033 -0.690 -0.619 -0.372 -0.214 -0.324 8.623E+07
 28000. 8.5  0.918  8.139 -2.973  9.806 10.957 11.112 11.223 11.333 11.653 11.758 11.842 10.643 10.906 11.313 11.635 11.946 11.088 -0.026 -0.148  0.018 -0.703 -0.636 -0.393 -0.228 -0.339 6.432E+07
 30000. 8.5  0.920  7.838 -3.183  9.686 10.850 11.021 11.139 11.260 11.589 11.696 11.782 10.523 10.805 11.227 11.558 11.875 10.998 -0.037 -0.168 -0.002 -0.720 -0.657 -0.421 -0.245 -0.357 4.722E+07
  3500. 9.0  1.186 18.142 -1.273 22.058 21.095 19.416 18.392 17.454 16.467 16.000 15.708 22.923 20.288 18.768 18.086 17.689 19.409  1.196  3.017  2.421  1.533  2.027  3.548  2.649  1.744 5.391E+09
  3750. 9.0  1.186 17.843 -0.977 21.059 20.304 18.820 17.920 17.081 16.221 15.805 15.546 21.911 19.585 18.258 17.680 17.354 18.808  1.060  2.694  2.153  1.301  1.743  3.123  2.343  1.520 5.326E+09
  4000. 9.0  1.186 17.562 -0.751 20.208 19.633 18.313 17.515 16.761 16.008 15.635 15.405 21.050 18.987 17.823 17.331 17.064 18.298  0.946  2.415  1.928  1.110  1.508  2.762  2.081  1.332 5.248E+09
  4250. 9.0  1.186 17.299 -0.571 19.458 19.045 17.870 17.159 16.479 15.820 15.485 15.281 20.293 18.463 17.442 17.024 16.810 17.854  0.847  2.164  1.730  0.944  1.305  2.442  1.847  1.168 5.162E+09
  4500. 9.0  1.186 17.051 -0.430 18.792 18.527 17.481 16.845 16.231 15.653 15.352 15.170 19.622 18.001 17.106 16.754 16.585 17.463  0.760  1.936  1.556  0.800  1.127  2.155  1.636  1.024 5.075E+09
  4750. 9.0  1.186 16.816 -0.321 18.199 18.069 17.137 16.567 16.010 15.504 15.232 15.069 19.024 17.592 16.810 16.515 16.385 17.119  0.684  1.730  1.401  0.675  0.971  1.898  1.446  0.896 4.986E+09
  5000. 9.0  1.186 16.593 -0.240 17.673 17.665 16.833 16.320 15.814 15.371 15.125 14.979 18.496 17.231 16.548 16.303 16.207 16.816  0.618  1.545  1.266  0.565  0.836  1.671  1.277  0.784 4.885E+09
  5250. 9.0  1.186 16.381 -0.181 17.205 17.305 16.563 16.099 15.639 15.250 15.027 14.897 18.026 16.909 16.314 16.113 16.048 16.546  0.559  1.380  1.146  0.470  0.718  1.471  1.127  0.687 4.776E+09
  5500. 9.0  1.186 16.179 -0.139 16.784 16.982 16.319 15.898 15.479 15.140 14.937 14.821 17.604 16.619 16.103 15.940 15.902 16.303  0.508  1.234  1.041  0.385  0.613  1.293  0.994  0.600 4.639E+09
  6000. 9.0  1.186 15.801 -0.108 16.094 16.447 15.909 15.558 15.205 14.949 14.781 14.688 16.914 16.135 15.745 15.646 15.652 15.895  0.426  1.002  0.875  0.248  0.446  1.014  0.786  0.464 4.293E+09
  6500. 9.0  1.186 15.453 -0.111 15.542 16.008 15.564 15.267 14.968 14.779 14.641 14.568 16.363 15.734 15.441 15.392 15.434 15.551  0.365  0.835  0.751  0.140  0.317  0.809  0.634  0.362 3.914E+09
  7000. 9.0  1.186 15.131 -0.135 15.085 15.635 15.266 15.012 14.759 14.627 14.513 14.458 15.906 15.391 15.176 15.168 15.240 15.255  0.316  0.709  0.655  0.052  0.213  0.652  0.520  0.282 3.545E+09
  7500. 9.0  1.186 14.832 -0.173 14.694 15.312 15.005 14.787 14.572 14.489 14.397 14.357 15.515 15.091 14.942 14.969 15.067 14.995  0.276  0.607  0.575 -0.023  0.127  0.525  0.428  0.216 3.282E+09
  8000. 9.0  1.187 14.551 -0.221 14.351 15.027 14.772 14.585 14.404 14.363 14.291 14.264 15.174 14.826 14.733 14.790 14.910 14.763  0.241  0.522  0.508 -0.087  0.053  0.418  0.350  0.160 3.062E+09
  8500. 9.0  1.187 14.288 -0.275 14.048 14.772 14.563 14.403 14.250 14.248 14.193 14.178 14.871 14.589 14.544 14.628 14.768 14.555  0.212  0.449  0.450 -0.142 -0.012  0.326  0.284  0.112 2.845E+09
  9000. 9.0  1.187 14.040 -0.335 13.777 14.544 14.374 14.237 14.111 14.142 14.102 14.099 14.601 14.375 14.373 14.481 14.637 14.368  0.186  0.386  0.400 -0.191 -0.068  0.246  0.227  0.071 2.635E+09
  9500. 9.0  1.187 13.805 -0.400 13.534 14.339 14.204 14.088 13.984 14.045 14.020 14.027 14.359 14.184 14.219 14.347 14.519 14.199  0.163  0.329  0.355 -0.234 -0.117  0.174  0.175  0.034 2.440E+09
 10000. 9.0  1.187 13.582 -0.470 13.315 14.155 14.052 13.954 13.871 13.959 13.946 13.962 14.141 14.011 14.081 14.227 14.413 14.048  0.142  0.278  0.315 -0.273 -0.162  0.110  0.129  0.000 2.262E+09
 11000. 9.0  1.187 13.168 -0.617 12.936 13.834 13.784 13.717 13.666 13.797 13.805 13.835 13.763 13.710 13.838 14.013 14.220 13.780  0.109  0.192  0.248 -0.337 -0.235  0.003  0.051 -0.055 1.949E+09
 12000. 9.0  1.188 12.790 -0.778 12.624 13.573 13.568 13.528 13.503 13.670 13.694 13.736 13.452 13.465 13.643 13.841 14.066 13.564  0.081  0.118  0.192 -0.391 -0.299 -0.088 -0.015 -0.102 1.683E+09
 13000. 9.0  1.188 12.442 -0.941 12.361 13.352 13.382 13.365 13.361 13.559 13.597 13.647 13.191 13.257 13.476 13.693 13.933 13.378  0.058  0.058  0.148 -0.436 -0.352 -0.161 -0.068 -0.141 1.458E+09
 14000. 9.0  1.188 12.120 -1.099 12.137 13.162 13.219 13.221 13.235 13.458 13.507 13.565 12.967 13.076 13.329 13.561 13.814 13.213  0.041  0.010  0.115 -0.475 -0.398 -0.218 -0.109 -0.173 1.268E+09
 15000. 9.0  1.188 11.820 -1.250 11.940 12.992 13.070 13.088 13.118 13.362 13.421 13.485 12.771 12.914 13.193 13.440 13.703 13.063  0.027 -0.026  0.090 -0.509 -0.437 -0.260 -0.140 -0.201 1.100E+09
 17000. 9.0  1.189 11.276 -1.520 11.606 12.696 12.796 12.841 12.894 13.172 13.248 13.323 12.438 12.626 12.942 13.211 13.488 12.782  0.013 -0.073  0.066 -0.566 -0.496 -0.309 -0.175 -0.242 8.220E+08
 18000. 9.0  1.189 11.027 -1.641 11.461 12.563 12.668 12.726 12.786 13.075 13.158 13.238 12.293 12.495 12.825 13.101 13.384 12.651  0.011 -0.087  0.064 -0.590 -0.519 -0.319 -0.184 -0.255 7.059E+08
 20000. 9.0  1.190 10.569 -1.875 11.210 12.333 12.444 12.523 12.592 12.891 12.985 13.070 12.043 12.268 12.620 12.905 13.195 12.419  0.010 -0.110  0.061 -0.628 -0.555 -0.335 -0.200 -0.273 5.107E+08
 22000. 9.0  1.190 10.155 -2.119 11.007 12.150 12.274 12.367 12.447 12.753 12.851 12.937 11.841 12.090 12.462 12.758 13.054 12.246  0.004 -0.136  0.048 -0.657 -0.584 -0.360 -0.220 -0.289 3.729E+08
 24000. 9.0  1.191  9.776 -2.378 10.856 12.015 12.154 12.258 12.348 12.662 12.764 12.851 11.691 11.961 12.351 12.656 12.959 12.127 -0.005 -0.159  0.031 -0.678 -0.606 -0.388 -0.241 -0.305 2.805E+08
 26000. 9.0  1.191  9.428 -2.661 10.772 11.940 12.089 12.197 12.295 12.615 12.719 12.807 11.608 11.889 12.289 12.600 12.907 12.062 -0.011 -0.173  0.019 -0.690 -0.620 -0.405 -0.253 -0.315 2.260E+08
 28000. 9.0  1.192  9.106 -2.931 10.704 11.880 12.037 12.149 12.253 12.578 12.684 12.772 11.541 11.831 12.240 12.556 12.867 12.010 -0.017 -0.183  0.010 -0.700 -0.631 -0.420 -0.262 -0.324 1.843E+08
 30000. 9.0  1.192  8.806 -3.162 10.616 11.801 11.968 12.087 12.198 12.530 12.639 12.728 11.452 11.756 12.177 12.499 12.814 11.942 -0.024 -0.198 -0.003 -0.714 -0.646 -0.439 -0.275 -0.337 1.509E+08
