    6   57  Pure hydrogen grid                                                                                                             Tue Feb 28 09:08:53 2006
 Teff  logg  M/Mo  Mbol     BC    U      B      V      R      I      J      H      K      u      g      r      i      z      y      b-y    u-b    v-y    V-I    G-R    U-V    U-G    B-V     Age
 65000. 7.5  0.541  2.555 -5.394  6.305  7.623  7.949  8.099  8.290  8.700  8.819  8.917  7.150  7.635  8.177  8.565  8.925  7.961 -0.144 -0.409 -0.218 -0.790 -0.771 -0.751 -0.483 -0.454 7.402E+05
 70000. 7.5  0.555  2.206 -5.649  6.201  7.524  7.855  8.006  8.198  8.609  8.728  8.826  7.046  7.538  8.083  8.472  8.833  7.867 -0.145 -0.418 -0.223 -0.792 -0.773 -0.761 -0.491 -0.457 5.684E+05
 75000. 7.5  0.569  1.880 -5.886  6.105  7.433  7.767  7.918  8.111  8.524  8.643  8.741  6.950  7.447  7.996  8.386  8.746  7.778 -0.147 -0.425 -0.228 -0.793 -0.775 -0.769 -0.498 -0.460 4.470E+05
 80000. 7.5  0.583  1.572 -6.108  6.011  7.343  7.680  7.832  8.026  8.440  8.560  8.657  6.856  7.359  7.910  8.300  8.662  7.692 -0.148 -0.432 -0.233 -0.795 -0.777 -0.776 -0.505 -0.462 3.536E+05
 85000. 7.5  0.599  1.281 -6.316  5.921  7.257  7.597  7.750  7.944  8.359  8.479  8.577  6.767  7.274  7.827  8.219  8.580  7.609 -0.148 -0.438 -0.237 -0.796 -0.779 -0.782 -0.510 -0.465 2.728E+05
 90000. 7.5  0.613  1.006 -6.512  5.837  7.176  7.518  7.672  7.867  8.283  8.403  8.501  6.682  7.194  7.749  8.141  8.503  7.531 -0.149 -0.443 -0.240 -0.798 -0.781 -0.788 -0.515 -0.467 2.056E+05
100000. 7.5  0.639  0.503 -6.872  5.684  7.028  7.375  7.530  7.726  8.144  8.264  8.362  6.530  7.048  7.606  8.000  8.363  7.388 -0.151 -0.452 -0.246 -0.800 -0.783 -0.798 -0.524 -0.470 1.241E+05
110000. 7.5  0.667  0.043 -7.197  5.540  6.889  7.239  7.395  7.593  8.012  8.133  8.231  6.385  6.910  7.471  7.866  8.230  7.252 -0.152 -0.459 -0.252 -0.802 -0.786 -0.806 -0.531 -0.473 8.936E+04
  1500. 8.0  0.575 20.108  1.134 21.498 20.506 18.974 19.147 21.405 21.886 21.516 23.982 22.365 19.703 19.020 21.401 21.622 18.887  1.126  3.065  2.362 -3.249 -0.628  3.539  2.689  1.701 1.481E+10
  1750. 8.0  0.575 19.438  0.944 20.836 20.005 18.495 18.398 19.957 20.487 20.296 22.094 21.692 19.252 18.296 20.072 20.315 18.447  1.102  2.813  2.245 -2.105  0.061  3.276  2.455  1.602 1.413E+10
  2000. 8.0  0.575 18.858  0.749 20.270 19.562 18.109 17.818 18.806 19.353 19.309 20.601 21.119 18.851 17.765 18.993 19.267 18.080  1.054  2.621  2.127 -1.241  0.569  3.055  2.278  1.503 1.350E+10
  2250. 8.0  0.575 18.347  0.555 19.785 19.183 17.791 17.350 17.866 18.415 18.490 19.422 20.629 18.507 17.365 18.102 18.398 17.772  1.008  2.457  2.023 -0.562  0.954  2.864  2.128  1.417 1.291E+10
  2500. 8.0  0.575 17.889  0.357 19.371 18.863 17.532 16.970 17.084 17.606 17.767 18.429 20.211 18.219 17.066 17.377 17.658 17.517  0.965  2.314  1.928 -0.004  1.206  2.695  1.997  1.340 1.235E+10
  2750. 8.0  0.575 17.475  0.166 19.012 18.583 17.309 16.658 16.442 16.905 17.132 17.609 19.848 17.966 16.831 16.807 17.023 17.295  0.926  2.193  1.845  0.436  1.335  2.550  1.887  1.271 1.181E+10
  3000. 8.0  0.575 17.097 -0.008 18.691 18.328 17.105 16.399 15.942 16.275 16.530 16.864 19.524 17.735 16.632 16.383 16.486 17.092  0.891  2.092  1.773  0.740  1.376  2.427  1.793  1.212 1.130E+10
  3250. 8.0  0.576 16.749 -0.158 18.383 18.080 16.906 16.178 15.573 15.705 15.961 16.203 19.215 17.509 16.447 16.074 16.050 16.893  0.858  1.999  1.706  0.905  1.362  2.314  1.709  1.157 1.081E+10
  3500. 8.0  0.576 16.427 -0.279 18.077 17.831 16.706 15.981 15.309 15.193 15.412 15.587 18.906 17.281 16.265 15.844 15.716 16.692  0.825  1.912  1.641  0.959  1.316  2.205  1.629  1.102 1.027E+10
  3750. 8.0  0.576 16.126 -0.372 17.763 17.574 16.498 15.793 15.105 14.748 14.890 15.007 18.591 17.045 16.078 15.654 15.465 16.484  0.792  1.826  1.574  0.947  1.254  2.097  1.551  1.047 9.645E+09
  4000. 8.0  0.576 15.845 -0.430 17.429 17.298 16.275 15.600 14.925 14.387 14.411 14.471 18.256 16.792 15.878 15.473 15.263 16.260  0.756  1.738  1.504  0.901  1.181  1.985  1.469  0.989 9.013E+09
  4250. 8.0  0.577 15.581 -0.448 17.062 16.994 16.029 15.390 14.743 14.119 13.997 14.003 17.887 16.512 15.659 15.283 15.079 16.014  0.717  1.643  1.428  0.834  1.097  1.863  1.381  0.926 8.352E+09
  4500. 8.0  0.578 15.332 -0.426 16.659 16.659 15.758 15.160 14.551 13.923 13.673 13.631 17.483 16.203 15.417 15.078 14.897 15.743  0.674  1.539  1.344  0.754  1.003  1.729  1.285  0.856 7.582E+09
  4750. 8.0  0.578 15.095 -0.379 16.235 16.308 15.475 14.921 14.353 13.761 13.445 13.358 17.058 15.880 15.165 14.866 14.713 15.459  0.628  1.429  1.255  0.668  0.904  1.588  1.184  0.782 6.737E+09
  5000. 8.0  0.580 14.870 -0.323 15.811 15.957 15.193 14.683 14.157 13.615 13.283 13.177 16.633 15.558 14.916 14.657 14.533 15.177  0.582  1.318  1.165  0.581  0.803  1.445  1.082  0.707 5.688E+09
  5250. 8.0  0.582 14.654 -0.271 15.407 15.624 14.925 14.457 13.971 13.478 13.155 13.054 16.228 15.251 14.679 14.457 14.362 14.910  0.538  1.212  1.079  0.499  0.708  1.309  0.984  0.635 4.401E+09
  5500. 8.0  0.584 14.447 -0.230 15.034 15.316 14.677 14.248 13.798 13.352 13.044 12.955 15.855 14.968 14.460 14.272 14.202 14.663  0.497  1.115  1.001  0.423  0.620  1.185  0.895  0.570 3.170E+09
  6000. 8.0  0.588 14.063 -0.184 14.381 14.780 14.248 13.886 13.500 13.133 12.858 12.795 15.202 14.475 14.082 13.953 13.927 14.234  0.425  0.941  0.863  0.291  0.465  0.963  0.737  0.453 2.241E+09
  6500. 8.0  0.590 13.712 -0.182 13.832 14.334 13.893 13.589 13.257 12.953 12.708 12.669 14.654 14.065 13.773 13.693 13.703 13.881  0.362  0.790  0.746  0.179  0.331  0.772  0.601  0.351 1.828E+09
  7000. 8.0  0.592 13.387 -0.201 13.379 13.956 13.588 13.332 13.046 12.800 12.584 12.565 14.201 13.715 13.505 13.467 13.509 13.577  0.310  0.679  0.655  0.084  0.219  0.629  0.503  0.268 1.520E+09
  7500. 8.0  0.593 13.084 -0.228 13.000 13.625 13.312 13.096 12.851 12.660 12.477 12.474 13.824 13.405 13.260 13.259 13.329 13.302  0.267  0.609  0.589  0.003  0.125  0.531  0.443  0.204 1.274E+09
  8000. 8.0  0.595 12.801 -0.257 12.678 13.331 13.058 12.879 12.668 12.531 12.379 12.390 13.504 13.125 13.037 13.065 13.161 13.049  0.231  0.569  0.543 -0.068  0.045  0.469  0.412  0.155 1.075E+09
  8500. 8.0  0.596 12.535 -0.285 12.399 13.064 12.820 12.674 12.497 12.411 12.289 12.311 13.227 12.867 12.824 12.882 13.004 12.811  0.200  0.554  0.512 -0.135 -0.028  0.435  0.405  0.117 9.170E+08
  9000. 8.0  0.598 12.285 -0.312 12.154 12.819 12.596 12.481 12.336 12.299 12.205 12.236 12.984 12.628 12.625 12.710 12.857 12.587  0.173  0.557  0.494 -0.200 -0.094  0.422  0.414  0.089 7.919E+08
  9500. 8.0  0.599 12.047 -0.339 11.936 12.595 12.386 12.301 12.188 12.195 12.127 12.167 12.769 12.407 12.440 12.551 12.722 12.377  0.150  0.571  0.485 -0.263 -0.155  0.423  0.433  0.069 6.894E+08
 10000. 8.0  0.600 11.822 -0.372 11.742 12.392 12.194 12.138 12.054 12.101 12.056 12.104 12.577 12.206 12.271 12.407 12.600 12.184  0.130  0.589  0.481 -0.323 -0.211  0.429  0.454  0.055 6.033E+08
 10500. 8.0  0.602 11.607 -0.419 11.571 12.214 12.026 11.996 11.939 12.020 11.993 12.048 12.407 12.031 12.126 12.283 12.494 12.015  0.112  0.601  0.477 -0.378 -0.261  0.431  0.469  0.044 5.307E+08
 11000. 8.0  0.603 11.403 -0.482 11.419 12.062 11.884 11.878 11.844 11.952 11.941 11.999 12.257 11.881 12.003 12.180 12.408 11.873  0.096  0.605  0.471 -0.426 -0.306  0.425  0.474  0.032 4.695E+08
 11500. 8.0  0.604 11.208 -0.559 11.284 11.932 11.766 11.779 11.765 11.896 11.895 11.956 12.123 11.755 11.901 12.096 12.335 11.755  0.081  0.602  0.462 -0.467 -0.345  0.412  0.471  0.019 4.179E+08
 12000. 8.0  0.606 11.021 -0.651 11.173 11.826 11.671 11.701 11.704 11.850 11.858 11.921 12.012 11.652 11.820 12.029 12.278 11.660  0.066  0.597  0.455 -0.501 -0.380  0.397  0.466  0.008 3.735E+08
 12500. 8.0  0.607 10.841 -0.760 11.086 11.745 11.601 11.643 11.658 11.816 11.829 11.891 11.925 11.574 11.759 11.980 12.237 11.590  0.054  0.591  0.444 -0.526 -0.406  0.380  0.458 -0.004 3.348E+08
 13000. 8.0  0.608 10.669 -0.866 10.998 11.665 11.535 11.587 11.614 11.781 11.799 11.861 11.838 11.498 11.702 11.933 12.194 11.524  0.041  0.580  0.430 -0.548 -0.433  0.359  0.447 -0.018 3.005E+08
 13500. 8.0  0.609 10.503 -0.963 10.899 11.579 11.466 11.527 11.565 11.743 11.765 11.828 11.739 11.418 11.639 11.882 12.147 11.456  0.027  0.561  0.410 -0.568 -0.458  0.330  0.429 -0.037 2.701E+08
 14000. 8.0  0.610 10.343 -1.056 10.795 11.493 11.398 11.467 11.514 11.702 11.729 11.794 11.636 11.338 11.577 11.828 12.099 11.389  0.015  0.534  0.385 -0.584 -0.480  0.294  0.404 -0.059 2.431E+08
 14500. 8.0  0.611 10.188 -1.146 10.693 11.411 11.335 11.409 11.464 11.662 11.694 11.760 11.533 11.263 11.517 11.776 12.052 11.327  0.005  0.502  0.358 -0.597 -0.499  0.255  0.376 -0.081 2.189E+08
 15000. 8.0  0.613 10.039 -1.235 10.593 11.333 11.274 11.353 11.416 11.623 11.659 11.726 11.434 11.191 11.459 11.725 12.006 11.268 -0.004  0.470  0.332 -0.608 -0.516  0.215  0.346 -0.102 1.972E+08
 15500. 8.0  0.614  9.895 -1.323 10.497 11.259 11.217 11.299 11.369 11.584 11.624 11.693 11.338 11.123 11.405 11.677 11.960 11.211 -0.012  0.436  0.308 -0.617 -0.530  0.176  0.316 -0.121 1.778E+08
 16000. 8.0  0.615  9.755 -1.408 10.405 11.188 11.162 11.248 11.323 11.547 11.591 11.661 11.246 11.059 11.352 11.629 11.917 11.157 -0.020  0.403  0.285 -0.625 -0.543  0.138  0.286 -0.138 1.603E+08
 16500. 8.0  0.616  9.619 -1.486 10.309 11.116 11.106 11.195 11.279 11.510 11.557 11.629 11.151 10.993 11.297 11.583 11.874 11.102 -0.026  0.369  0.262 -0.637 -0.556  0.099  0.254 -0.154 1.445E+08
 17000. 8.0  0.617  9.488 -1.566 10.223 11.050 11.054 11.146 11.235 11.475 11.525 11.598 11.064 10.933 11.247 11.539 11.831 11.050 -0.032  0.337  0.242 -0.645 -0.567  0.064  0.224 -0.168 1.303E+08
 20000. 8.0  0.624  8.770 -2.001  9.761 10.700 10.772 10.878 10.990 11.268 11.338 11.412 10.603 10.609 10.974 11.285 11.599 10.772 -0.061  0.172  0.145 -0.676 -0.617 -0.120  0.069 -0.234 6.896E+07
 25000. 8.0  0.635  7.782 -2.579  9.132 10.210 10.361 10.487 10.628 10.959 11.049 11.139  9.975 10.152 10.576 10.915 11.248 10.364 -0.092 -0.027  0.033 -0.723 -0.678 -0.337 -0.118 -0.306 2.216E+07
 30000. 8.0  0.646  6.972 -2.998  8.574  9.754  9.970 10.108 10.273 10.644 10.751 10.852  9.417  9.723 10.193 10.553 10.901  9.976 -0.114 -0.181 -0.059 -0.756 -0.720 -0.504 -0.264 -0.361 9.239E+06
 35000. 8.0  0.661  6.277 -3.378  8.157  9.398  9.655  9.798  9.973 10.363 10.477 10.579  9.001  9.384  9.880 10.251 10.604  9.663 -0.124 -0.276 -0.119 -0.769 -0.738 -0.606 -0.356 -0.393 6.331E+06
 40000. 8.0  0.672  5.679 -3.774  7.905  9.174  9.454  9.599  9.779 10.178 10.294 10.395  8.749  9.169  9.680 10.056 10.412  9.463 -0.130 -0.323 -0.151 -0.777 -0.749 -0.656 -0.401 -0.411 4.018E+06
 45000. 8.0  0.682  5.151 -4.153  7.725  9.011  9.305  9.452  9.636 10.039 10.156 10.257  8.569  9.011  9.532  9.912 10.269  9.314 -0.134 -0.352 -0.171 -0.782 -0.756 -0.688 -0.429 -0.422 2.808E+06
 50000. 8.0  0.694  4.676 -4.505  7.578  8.877  9.181  9.329  9.515  9.922 10.040 10.140  8.423  8.881  9.408  9.791 10.149  9.191 -0.137 -0.372 -0.186 -0.785 -0.761 -0.710 -0.448 -0.431 1.818E+06
 55000. 8.0  0.703  4.247 -4.829  7.457  8.765  9.076  9.226  9.414  9.824  9.942 10.042  8.302  8.772  9.305  9.690 10.049  9.087 -0.140 -0.388 -0.197 -0.788 -0.765 -0.726 -0.463 -0.437 1.534E+06
 60000. 8.0  0.713  3.854 -5.128  7.349  8.664  8.982  9.133  9.323  9.734  9.853  9.952  8.194  8.674  9.211  9.597  9.958  8.993 -0.142 -0.400 -0.206 -0.790 -0.768 -0.740 -0.474 -0.443 1.257E+06
 65000. 8.0  0.722  3.492 -5.405  7.253  8.573  8.897  9.048  9.239  9.652  9.772  9.871  8.097  8.585  9.126  9.514  9.875  8.908 -0.143 -0.410 -0.213 -0.792 -0.771 -0.751 -0.484 -0.447 1.055E+06
 70000. 8.0  0.732  3.156 -5.661  7.164  8.490  8.818  8.970  9.162  9.576  9.696  9.795  8.009  8.503  9.047  9.436  9.798  8.829 -0.145 -0.419 -0.220 -0.794 -0.774 -0.761 -0.492 -0.451 9.011E+05
 75000. 8.0  0.741  2.843 -5.901  7.082  8.412  8.744  8.897  9.090  9.506  9.626  9.725  7.927  8.427  8.974  9.364  9.726  8.756 -0.146 -0.426 -0.225 -0.795 -0.776 -0.769 -0.499 -0.455 7.773E+05
 80000. 8.0  0.750  2.550 -6.125  7.005  8.339  8.675  8.828  9.022  9.439  9.560  9.658  7.850  8.355  8.905  9.296  9.659  8.686 -0.147 -0.433 -0.230 -0.797 -0.778 -0.776 -0.506 -0.458 6.760E+05
 85000. 8.0  0.759  2.274 -6.335  6.932  8.270  8.608  8.762  8.958  9.375  9.496  9.595  7.777  8.287  8.839  9.231  9.594  8.620 -0.148 -0.438 -0.234 -0.798 -0.780 -0.782 -0.511 -0.460 5.907E+05
 90000. 8.0  0.768  2.013 -6.533  6.864  8.204  8.545  8.700  8.896  9.314  9.436  9.534  7.709  8.222  8.777  9.170  9.533  8.558 -0.149 -0.444 -0.238 -0.800 -0.781 -0.788 -0.516 -0.463 5.195E+05
100000. 8.0  0.785  1.530 -6.896  6.735  8.081  8.427  8.582  8.779  9.199  9.321  9.419  7.580  8.101  8.658  9.053  9.416  8.439 -0.151 -0.452 -0.245 -0.802 -0.784 -0.798 -0.524 -0.467 4.023E+05
110000. 8.0  0.804  1.091 -7.224  6.616  7.966  8.316  8.472  8.671  9.092  9.214  9.312  7.461  7.987  8.548  8.943  9.308  8.328 -0.152 -0.460 -0.251 -0.804 -0.787 -0.806 -0.531 -0.471 3.080E+05
  1500. 8.5  0.908 20.862  1.158 21.994 21.133 19.703 20.020 22.345 22.740 22.338 24.806 22.852 20.363 19.895 22.358 22.535 19.592  1.071  2.860  2.245 -3.504 -0.935  3.311  2.504  1.614 1.210E+10
  1750. 8.5  0.908 20.192  1.000 21.392 20.649 19.192 19.219 20.881 21.345 21.129 22.944 22.243 19.912 19.112 21.014 21.213 19.127  1.079  2.676  2.187 -2.361 -0.227  3.139  2.335  1.560 1.199E+10
  2000. 8.5  0.908 19.612  0.805 20.846 20.220 18.807 18.603 19.709 20.200 20.133 21.446 21.690 19.527 18.535 19.904 20.148 18.772  1.035  2.494  2.072 -1.462  0.341  2.927  2.165  1.462 1.187E+10
  2250. 8.5  0.908 19.101  0.612 20.359 19.834 18.488 18.118 18.757 19.260 19.310 20.251 21.199 19.180 18.108 18.994 19.272 18.466  0.981  2.341  1.956 -0.766  0.754  2.735  2.022  1.364 1.172E+10
  2500. 8.5  0.908 18.643  0.430 19.939 19.496 18.214 17.721 17.971 18.463 18.602 19.279 20.775 18.873 17.784 18.249 18.534 18.197  0.934  2.214  1.861 -0.218  1.036  2.576  1.905  1.285 1.156E+10
  2750. 8.5  0.908 18.229  0.254 19.574 19.203 17.975 17.389 17.310 17.774 17.982 18.477 20.408 18.606 17.528 17.645 17.895 17.960  0.896  2.104  1.782  0.227  1.202  2.442  1.805  1.220 1.139E+10
  3000. 8.5  0.908 17.851  0.088 19.252 18.943 17.763 17.112 16.771 17.156 17.407 17.766 20.084 18.368 17.315 17.174 17.339 17.749  0.862  2.010  1.715  0.567  1.276  2.328  1.719  1.164 1.123E+10
  3250. 8.5  0.908 17.503 -0.061 18.956 18.699 17.565 16.878 16.356 16.589 16.850 17.106 19.786 18.145 17.126 16.825 16.872 17.551  0.832  1.928  1.654  0.782  1.286  2.226  1.644  1.113 1.106E+10
  3500. 8.5  0.908 17.182 -0.187 18.665 18.460 17.369 16.674 16.054 16.069 16.310 16.502 19.494 17.924 16.944 16.568 16.501 17.354  0.802  1.852  1.595  0.879  1.258  2.130  1.574  1.065 1.088E+10
  3750. 8.5  0.908 16.882 -0.287 18.370 18.215 17.169 16.486 15.831 15.606 15.791 15.933 19.198 17.698 16.762 16.366 16.219 17.154  0.772  1.775  1.535  0.894  1.208  2.033  1.504  1.015 1.068E+10
  4000. 8.5  0.909 16.601 -0.357 18.060 17.957 16.958 16.300 15.646 15.215 15.306 15.398 18.886 17.460 16.572 16.185 16.001 16.943  0.740  1.696  1.472  0.864  1.144  1.932  1.431  0.963 1.040E+10
  4250. 8.5  0.909 16.338 -0.392 17.723 17.676 16.729 16.103 15.470 14.913 14.872 14.913 18.548 17.201 16.368 16.004 15.816 16.714  0.704  1.611  1.403  0.808  1.070  1.823  1.352  0.905 1.004E+10
  4500. 8.5  0.909 16.089 -0.390 17.352 17.367 16.479 15.889 15.288 14.694 14.515 14.509 18.176 16.917 16.144 15.813 15.639 16.463  0.665  1.517  1.327  0.737  0.985  1.701  1.265  0.842 9.676E+09
  4750. 8.5  0.909 15.854 -0.359 16.957 17.039 16.213 15.664 15.101 14.525 14.253 14.194 17.780 16.614 15.907 15.612 15.463 16.197  0.623  1.416  1.245  0.658  0.893  1.572  1.172  0.773 9.230E+09
  5000. 8.5  0.910 15.631 -0.313 16.554 16.705 15.944 15.436 14.912 14.378 14.072 13.979 17.376 16.307 15.668 15.411 15.289 15.928  0.579  1.312  1.160  0.577  0.798  1.438  1.076  0.703 8.708E+09
  5250. 8.5  0.910 15.418 -0.266 16.162 16.382 15.684 15.217 14.732 14.244 13.936 13.838 16.984 16.009 15.438 15.218 15.123 15.669  0.537  1.209  1.077  0.497  0.706  1.306  0.981  0.634 8.025E+09
  5500. 8.5  0.911 15.215 -0.227 15.796 16.080 15.442 15.012 14.564 14.121 13.824 13.735 16.617 15.731 15.224 15.038 14.968 15.427  0.497  1.112  0.999  0.422  0.620  1.182  0.893  0.569 7.072E+09
  6000. 8.5  0.913 14.835 -0.179 15.150 15.548 15.014 14.652 14.266 13.904 13.638 13.573 15.971 15.242 14.848 14.719 14.694 15.000  0.426  0.943  0.864  0.291  0.467  0.966  0.738  0.456 5.244E+09
  6500. 8.5  0.914 14.486 -0.173 14.606 15.104 14.659 14.354 14.021 13.724 13.487 13.445 15.428 14.834 14.538 14.457 14.467 14.647  0.366  0.796  0.750  0.181  0.337  0.780  0.605  0.358 4.428E+09
  7000. 8.5  0.915 14.163 -0.196 14.149 14.730 14.359 14.102 13.814 13.573 13.362 13.341 14.972 14.489 14.276 14.236 14.277 14.348  0.313  0.675  0.657  0.087  0.225  0.627  0.498  0.275 3.793E+09
  7500. 8.5  0.916 13.863 -0.229 13.766 14.406 14.092 13.876 13.627 13.438 13.256 13.252 14.590 14.186 14.041 14.036 14.105 14.082  0.270  0.591  0.588  0.006  0.131  0.515  0.424  0.210 3.261E+09
  8000. 8.5  0.916 13.582 -0.265 13.440 14.119 13.846 13.666 13.451 13.314 13.160 13.169 14.265 13.915 13.826 13.848 13.943 13.837  0.235  0.537  0.540 -0.063  0.052  0.439  0.379  0.161 2.791E+09
  8500. 8.5  0.917 13.318 -0.298 13.156 13.859 13.616 13.467 13.284 13.197 13.072 13.092 13.983 13.665 13.620 13.671 13.789 13.607  0.205  0.508  0.509 -0.127 -0.018  0.392  0.358  0.124 2.377E+09
  9000. 8.5  0.918 13.068 -0.330 12.907 13.621 13.399 13.279 13.127 13.088 12.988 13.019 13.735 13.433 13.426 13.503 13.645 13.390  0.180  0.496  0.490 -0.188 -0.081  0.365  0.353  0.097 2.018E+09
  9500. 8.5  0.919 12.833 -0.361 12.684 13.402 13.194 13.102 12.980 12.986 12.909 12.950 13.514 13.219 13.243 13.346 13.509 13.184  0.158  0.496  0.482 -0.247 -0.137  0.353  0.357  0.080 1.706E+09
 10000. 8.5  0.919 12.609 -0.395 12.485 13.203 13.004 12.939 12.844 12.892 12.836 12.885 13.316 13.022 13.076 13.201 13.386 12.994  0.141  0.502  0.480 -0.303 -0.188  0.350  0.366  0.069 1.435E+09
 10500. 8.5  0.920 12.396 -0.436 12.306 13.024 12.832 12.793 12.724 12.808 12.770 12.826 13.139 12.845 12.925 13.071 13.275 12.821  0.126  0.508  0.480 -0.356 -0.234  0.349  0.374  0.061 1.205E+09
 11000. 8.5  0.921 12.193 -0.491 12.147 12.869 12.685 12.668 12.622 12.736 12.713 12.774 12.981 12.691 12.796 12.961 13.181 12.672  0.112  0.509  0.478 -0.404 -0.275  0.342  0.375  0.055 1.037E+09
 11500. 8.5  0.922 12.000 -0.560 12.005 12.736 12.559 12.562 12.536 12.675 12.663 12.728 12.840 12.560 12.687 12.869 13.102 12.546  0.100  0.502  0.473 -0.445 -0.311  0.329  0.369  0.047 9.044E+08
 12000. 8.5  0.922 11.814 -0.639 11.877 12.619 12.452 12.472 12.463 12.622 12.619 12.687 12.713 12.447 12.594 12.791 13.035 12.439  0.088  0.492  0.466 -0.480 -0.344  0.312  0.359  0.038 8.015E+08
 12500. 8.5  0.923 11.636 -0.727 11.767 12.518 12.363 12.397 12.405 12.577 12.584 12.653 12.603 12.350 12.516 12.728 12.982 12.349  0.077  0.480  0.456 -0.513 -0.373  0.293  0.348  0.028 7.237E+08
 13000. 8.5  0.924 11.465 -0.829 11.679 12.440 12.294 12.339 12.357 12.543 12.553 12.624 12.516 12.275 12.457 12.677 12.938 12.280  0.068  0.470  0.448 -0.534 -0.396  0.276  0.337  0.021 6.551E+08
 13500. 8.5  0.924 11.300 -0.937 11.605 12.374 12.237 12.292 12.319 12.513 12.527 12.599 12.442 12.211 12.407 12.636 12.901 12.223  0.058  0.460  0.439 -0.553 -0.417  0.260  0.327  0.011 5.927E+08
 14000. 8.5  0.925 11.141 -1.038 11.526 12.304 12.179 12.243 12.280 12.482 12.501 12.573 12.364 12.145 12.356 12.595 12.865 12.166  0.047  0.448  0.425 -0.572 -0.438  0.240  0.315 -0.001 5.365E+08
 14500. 8.5  0.926 10.988 -1.131 11.440 12.229 12.119 12.190 12.238 12.448 12.471 12.544 12.278 12.075 12.302 12.549 12.824 12.106  0.036  0.431  0.408 -0.589 -0.460  0.214  0.299 -0.017 4.871E+08
 15000. 8.5  0.926 10.840 -1.220 11.350 12.154 12.060 12.138 12.194 12.413 12.440 12.515 12.189 12.006 12.247 12.503 12.784 12.048  0.025  0.410  0.388 -0.604 -0.480  0.185  0.280 -0.035 4.439E+08
 15500. 8.5  0.927 10.697 -1.306 11.261 12.081 12.003 12.086 12.150 12.378 12.409 12.485 12.100 11.938 12.194 12.457 12.741 11.992  0.014  0.385  0.366 -0.616 -0.498  0.152  0.258 -0.055 4.060E+08
 16000. 8.5  0.927 10.558 -1.390 11.174 12.011 11.949 12.036 12.107 12.343 12.379 12.456 12.013 11.874 12.142 12.412 12.700 11.939  0.005  0.359  0.343 -0.626 -0.514  0.119  0.235 -0.073 3.723E+08
 16500. 8.5  0.928 10.424 -1.473 11.088 11.943 11.897 11.988 12.064 12.308 12.348 12.426 11.928 11.812 12.092 12.368 12.660 11.888 -0.003  0.331  0.321 -0.635 -0.528  0.086  0.210 -0.091 3.419E+08
 17000. 8.5  0.929 10.294 -1.553 11.006 11.879 11.847 11.941 12.023 12.274 12.317 12.397 11.846 11.753 12.044 12.325 12.620 11.839 -0.010  0.304  0.299 -0.643 -0.541  0.053  0.185 -0.108 3.145E+08
 20000. 8.5  0.932  9.584 -1.986 10.549 11.523 11.569 11.679 11.788 12.075 12.141 12.218 11.390 11.427 11.776 12.082 12.399 11.566 -0.048  0.148  0.188 -0.680 -0.602 -0.129  0.041 -0.188 1.966E+08
 25000. 8.5  0.938  8.608 -2.564  9.935 11.038 11.171 11.300 11.440 11.778 11.865 11.957 10.777 10.978 11.391 11.726 12.062 11.173 -0.083 -0.044  0.062 -0.726 -0.668 -0.344 -0.138 -0.272 9.664E+07
 30000. 8.5  0.944  7.810 -2.984  9.391 10.590 10.794 10.934 11.097 11.474 11.579 11.681 10.235 10.558 11.020 11.377 11.726 10.798 -0.107 -0.194 -0.041 -0.758 -0.712 -0.509 -0.279 -0.336 4.695E+07
 35000. 8.5  0.954  7.128 -3.372  9.000 10.251 10.500 10.644 10.818 11.212 11.324 11.427  9.843 10.237 10.727 11.096 11.450 10.507 -0.119 -0.283 -0.108 -0.771 -0.733 -0.608 -0.364 -0.375 2.478E+07
 40000. 8.5  0.960  6.541 -3.772  8.764 10.041 10.314 10.460 10.640 11.042 11.157 11.259  9.608 10.035 10.542 10.916 11.273 10.322 -0.126 -0.328 -0.143 -0.778 -0.745 -0.657 -0.407 -0.396 9.758E+06
 45000. 8.5  0.966  6.023 -4.154  8.597  9.889 10.177 10.326 10.509 10.915 11.032 11.134  9.441  9.889 10.406 10.785 11.143 10.186 -0.131 -0.356 -0.165 -0.783 -0.752 -0.688 -0.433 -0.410 4.045E+06
 50000. 8.5  0.972  5.559 -4.508  8.464  9.768 10.067 10.217 10.403 10.812 10.930 11.032  9.309  9.772 10.296 10.678 11.037 10.077 -0.134 -0.375 -0.180 -0.786 -0.758 -0.710 -0.452 -0.420 2.016E+06
 55000. 8.5  0.977  5.140 -4.833  8.353  9.666  9.973 10.124 10.312 10.724 10.843 10.944  9.198  9.673 10.203 10.587 10.947  9.983 -0.137 -0.390 -0.192 -0.789 -0.763 -0.727 -0.466 -0.428 1.256E+06
 60000. 8.5  0.982  4.756 -5.134  8.257  9.575  9.890 10.041 10.231 10.645 10.765 10.866  9.101  9.585 10.120 10.506 10.867  9.900 -0.140 -0.402 -0.202 -0.792 -0.767 -0.740 -0.477 -0.434 9.136E+05
 65000. 8.5  0.987  4.403 -5.412  8.170  9.495  9.815  9.967 10.159 10.574 10.695 10.796  9.015  9.506 10.046 10.433 10.795  9.826 -0.141 -0.412 -0.210 -0.794 -0.770 -0.751 -0.487 -0.440 7.222E+05
